id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity,release_decade,detailed_mood,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,78,2020,euphoric,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,55,2020,focused,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,64,2010,aggressive,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,48,2020,dreamy,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,82,2020,hype,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,40,2010,dreamy,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,52,2000,nostalgic,instrumental
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.55,60,1980,nostalgic,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,58,2020,focused,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,70,2010,euphoric,english
11,City Lights Flow,MC Vero,hip hop,confident,0.80,95,0.70,0.85,0.08,0.02,74,2020,hype,english
12,Winter Nocturne,Elena Frost,classical,melancholy,0.15,52,0.30,0.10,0.98,0.97,35,1990,melancholic,instrumental
13,Neon Horizon,Pulse Theory,edm,energetic,0.95,128,0.75,0.90,0.03,0.60,80,2020,euphoric,instrumental
14,Velvet Hours,Mara Soul,r&b,romantic,0.50,96,0.68,0.66,0.40,0.15,66,2010,romantic,english
15,Iron Verdict,Ashfall,metal,angry,0.98,168,0.35,0.45,0.02,0.08,57,2010,aggressive,english
16,Old Porch Song,Hollow Pines,folk,nostalgic,0.30,84,0.55,0.40,0.90,0.20,44,2000,nostalgic,english
17,Island Time,Sun Riddim,reggae,relaxed,0.48,74,0.78,0.70,0.55,0.30,62,2000,dreamy,english
18,Breakpoint,Circuit Fox,drum and bass,hype,0.92,174,0.60,0.80,0.04,0.75,69,2020,hype,instrumental
